,Average Sentiment,Tweet
BTC,0.18988636363636363,"[['RT @ape280: $BTC Bart or Crab until FOMC most likely\n\nMay Powell save us https://t.co/hwBAsJ46iK', '2022-01-25T16:38:00.000Z'], ['RT @kamiya_en: とある仮想通貨で過去最高の利益が出たんで、日本円に現金化しました。\n\n景気付けに1名に2000万円プレゼントしたいと思います。\n\n明日締め切るので欲しい人はリツイートとフォローでお待ちください。\n当選者にはDMで連絡します。\n\n(基本は銀行振込です…', '2022-01-25T16:37:59.000Z'], ['RT @CrypoGemFinder: @Marvin_Inu this is the new 1000x gem this is the new #FLOKI #shiba #BabyDoge this train is leaving the station make su…', '2022-01-25T16:37:59.000Z'], [""@Bishop_BTC @TheCryptoDog Trading bitcoin is so real with @Jeffery1burt at first I thought it was a joke, not until I got my first payout since then I've been trading on his platform . It earns me much to take good care of my family thanks so much for your  trusted platform. for more info dm him"", '2022-01-25T16:37:58.000Z'], ['@SeazonCS @NatManiaci @Bitcoin Nearly turned a Bitcoin off #doge..it was between used lambo or bio&amp;reinvest in btc 😂 know when to take profits ..🙊', '2022-01-25T16:37:58.000Z'], ['Trending on #LunarCrush:\n\n""$BTC: President of Chamber of Digital Commerce Says ‘Bitcoin Is Undervalued’"" via @CryptoGlobeInfo\n\nTop coin mentions\n$btc\n\nhttps://t.co/l5aXCjZOh6', '2022-01-25T16:37:58.000Z'], ['RT @x7_rjx: 【🎁株王プレゼント🎁】\n\n2022年特大っ！🥬\n\nBTC 100万円分を5人に配るよ🥬\n\n【応募方法】\n\n✔︎この投稿をRT\n✔︎@x7_rjxをフォロー\n✔︎固定ツイートのRT\n\nいいねの中から当選者を選んで\n当選者にはDMで連絡するよ🥬 https:…', '2022-01-25T16:37:58.000Z'], ['Trending on #LunarCrush:\n\n""Bitcoin (BTC), Ethereum (ETH) le 25 janvier 2022 - Le bitcoin et l’ether réalisent un pump"" via @CoinTribuneFR\n\nTop coin mentions\n$btc $eth\n\nhttps://t.co/alADOjeKCt', '2022-01-25T16:37:58.000Z'], ['Buy  Luffy  now  is  the  give  from  God. $LUFFY, #LUFFY  #LUFFYCREW #LUFFYTOKEN #SHIB #DOGE #Binance #Coinbase #cryptocurrency #BTC #ETH https://t.co/jZ85j25SJy', '2022-01-25T16:37:57.000Z'], [""@RNR_0 When you check ETH's cap over BTC's cap, it beat the 2018 complacency shoulder but not the top. Slightly better picture but still not that great, maybe even worse when considering EIP-1559 should have reduced the supply a bit."", '2022-01-25T16:37:57.000Z']]"
ETH,0.1662121212121212,"[['RT @NFTGifting: 🔔 Free #NFT AirDrop! 🔔\n\n✅ ❤️ &amp; RT \n✅ Follow Me\n\n👉 $ETH Address Below! 💰 https://t.co/48kswQva8R', '2022-01-25T16:38:28.000Z'], ['RT @thefrenchieclub: 🚨GIVEAWAY🚨\n\nGiving away 5 FrenchiesNFT &amp; 10 Allowlist spots for a total of 15 Winners!\n\nTo Enter👇 \n✅Follow us\n✅Like &amp;…', '2022-01-25T16:38:28.000Z'], ['RT @pandaanft: 🔔 Free NFT Airdrop! 🔔\n\nRT + like + follow.\n\n$ETH addresses below! https://t.co/HU4ak23DG7', '2022-01-25T16:38:28.000Z'], ['RT @nftbuzz_eth: ⚜️ NFT ART THREAD ⚜️\n\n✦ DROP YOUR BEST NFT\n✦ IMAGE, GIF, VIDEO ONLY\n✦ NO LINK, NO TEXT\n✦ PRICE IN $ETH or $NEAR or $TEZ\n✦…', '2022-01-25T16:38:28.000Z'], ['RT @Petrichorak: 🎉 $50 GIVEAWAY IN 24 HOURS 🎉\n    \n- RT &amp; Follow @naia_nft\n- Join Discord + Verify\nhttps://t.co/OZT8Hd6WGk\n\n#NFTGiveaway #N…', '2022-01-25T16:38:28.000Z'], ['RT @ZoomNFT: SPEED GIVEAWAY! 🎁\n\nSomeone who RTs &amp; follows @MetaversusNFT  + likes their 📌 in 60 mins ⏰ gets a NFT or ETH! 🔥', '2022-01-25T16:38:28.000Z'], ['RT @Bond_NFT: 1.7ETH among the first 2000💰\n Just Retweet &amp; Follow  10 WINNERS  #NFTs \nCome on！ 🚀🚀🚀\nDrop your $ETH wallet address 👇', '2022-01-25T16:38:28.000Z'], ['RT @NorrisAdamDoge: I have a lots of NFT &amp; Money, but not many followers, so I will send this @CyberKongz NFT to one random person (10 ETH…', '2022-01-25T16:38:28.000Z'], ['RT @EverRiseJason: Hey #RISERS have you had chance to check out the new additional stats on @EverChart yet?! 👀\n\nPlease LIKE &amp; SUBSCRIBE to…', '2022-01-25T16:38:28.000Z'], ['RT @CaptainCrypto01: $2500💸  $ETH ~ 2 DAYS   💰\n\n✅RT &amp; ❤️\n✅Follow me\n\n🏆 1 Winners &amp; $2000  💰', '2022-01-25T16:38:28.000Z']]"
BNB,0.11283008658008657,"[['RT @ahmette85: Following the Vitalik footprints ! @elonmusk @TokenAinu \n\n#Bitcoin #BTC #BTT #Binance #BNB #Ethereum #shiba #SHIB #ShibaArmy…', '2022-01-25T16:38:40.000Z'], ['@LilTGems @bnb_dao @forlane_ @ppitoangelnegro @31929bc57dbe412 @abarca_darwin', '2022-01-25T16:38:40.000Z'], ['RT @chinapumprocket: ShibaPeace 代幣 ($PEACE) 💎\n世界和平的倡導者☮️☮️\n\n🔥🔥 預售現在開始！ 🔥🔥\n\n地點：PinkSales (https://t.co/8hAl2K865A)\n預售率：1 BNB = 200M PEACE\n上幣…', '2022-01-25T16:38:39.000Z'], ['@Dennis_Porter_ @JasonPLowery 🚀ZETHURA🚀\n\nLive Privatesale(only 4 bnb left)\n✅KYC by Interfi\n✅Succes Dev\n✅Big Marketing&amp;Partnership\n✅CG &amp; CMC 24hrs after launch\n✅Coinsbit Listing after launch\n✅Metaverse,NFT,Gaming project\nTg: https://t.co/8qK8nHzF8U\n\n#zethura #spaceadventure $BTC $BSC $ETH @zethuragame https://t.co/dbuFjyZwch', '2022-01-25T16:38:39.000Z'], ['RT @cxcrypto1: Ever minted or bought #NFTs? claim your free $NIFTY airdrop. join https://t.co/HgLyzsYKJw to be the first to get it.\n\n@cctip…', '2022-01-25T16:38:39.000Z'], ['RT @betfury_gaming: ⭕️#BFG in a Squid NFT World⭕️\nhttps://t.co/p0yzx1KlRU\n\n🔥Join the first #NFT Game on #BSC with multi-crypto rewards by @…', '2022-01-25T16:38:38.000Z'], ['Stay in a family where trading made easy lots of profits.  \n$RUNE $XTZ $AVAX $SOL $ADA $KAVA $LINA $BNB $FTT $FTM $ONE $RAY $MTV $OMG $BTC $SHIB https://t.co/DH3ZWRtaWF', '2022-01-25T16:38:38.000Z'], ['RT @betfury_gaming: ⭕️#BFG in a Squid NFT World⭕️\nhttps://t.co/p0yzx1KlRU\n\n🔥Join the first #NFT Game on #BSC with multi-crypto rewards by @…', '2022-01-25T16:38:38.000Z'], ['RT @RichQuack: 20B $QUACK #Giveaway | 24 H | Road to 200,000 followers!\n\n👉🏻Like, RT, follow + Notif ON\n\nShow Proof\n\n#RichQUACK #CryptoNews…', '2022-01-25T16:38:37.000Z'], ['@elonmusk 🎁 @LOFCrypto GIVEAWAY TIME!! Who wants some free BNB and more? \n\n🎉 Top point earner gets the GRAND PRIZE valued at over $1,000!! \n\n📣 After the basic tasks are done its a referral battle! Visit link below to see more details\n\nSIGN UP AND START SHARING!!\nhttps://t.co/PSmUQjpvLw https://t.co/4vHP9DIn1t', '2022-01-25T16:38:37.000Z']]"
USDT,0.06319264069264069,"[['RT @igniteyourgames: Listen up gamers 📣\n\nThe first ever #airdrop to #igniteyourgames!👀🎁\n\nIgnite your way to the top prize in the 2000 $USDT…', '2022-01-25T16:39:13.000Z'], ['RT @graffitomania: GIVEAWAY \n\n1. Follow @MetaMonero\n2. Add USDT address \n\nIf we reach 1000 people to Retweet this by Wednesday until 13 PM…', '2022-01-25T16:39:13.000Z'], ['RT @CryptoTownEU: 🚀 Airdrop: Wrath of Conquerors: Hegemony\n💰 Value: $75,000 #USDT Pool\n👥 Referral: $500 Mystery Boxes  \n📒 Partnership: Expa…', '2022-01-25T16:39:13.000Z'], ['RT @kucoincom: 🥳 Metastrike (MTS) Listing Celebration \n\n5,000 $MTS ➕ 500 $USDT to Give Away\n\n✅ Follow @kucoincom @MetastrikeHQ \n✅ Retweet &amp;…', '2022-01-25T16:39:13.000Z'], ['RT @Wizardara: Karastar Lands @karastargamefi #NFT auction will be launched at 2 PM UTC, Jan 26 on Official Website https://t.co/BmanrwFTMY…', '2022-01-25T16:39:12.000Z'], ['RT @tugapenft: 🙊Tug Ape NFT Club Airdrop🙊\n👉Airdrop Link:\n      https://t.co/o99kRzEtTH\n\n 🎁Total Airdrop Reward🎁 \n       1) 18499 TUGNFT (1…', '2022-01-25T16:39:12.000Z'], ['RT @Meriti_Official: 📣 Meriti Airdrop is live!\n\n🏆 Reward for Tasks: Up to 1,000,000 MERIT (~$10)\n\n👨\u200d👩\u200d👧 Referral Reward:   500 USDT for top…', '2022-01-25T16:39:12.000Z'], ['RT @MEXC_Global: MEXC will list $AZERO @Aleph__Zero in the Innovation Zone under AZERO/USDT trading pair at 15:00 on Jan 27 (UTC).\n\n1000 $A…', '2022-01-25T16:39:11.000Z'], ['RT @BitKeepOS: 🎊The #BitKeep 2022 CNY #NFT Gift Pack event is here. Special CNY Jackpot Blind Boxes worth 260,000 #USDT will be distributed…', '2022-01-25T16:39:11.000Z'], ['RT @airdropinspect: New airdrop: MiniBTC\nTotal Reward: $1500 MINIBTC + 500 NFT + 2,000 USDT\nRate: ⭐️⭐️⭐️⭐️\nWinners: 2,000 Random &amp; Top 100…', '2022-01-25T16:39:11.000Z']]"
SOL,0.1932348484848485,"[['Vocês que reclamaram do friozinho e da chuvinha, vocês que pediram sol e calor porque não aguentavam mais o mínimo de frio que estava fazendo, vocês, eu culpo exclusivamente vocês pela situação que estamos vivendo.', '2022-01-25T16:39:25.000Z'], ['um sol p cada corno aq 🥵', '2022-01-25T16:39:25.000Z'], ['Awesome and very exciting project, it is surely going to be a big player in the market.\n\n@AkarahNsisong\n@Blarksnow\n@AugustineFabia1\n@GodwinOkonBass4\n@steveandyjnr\n\n$CRYN $SOL #Airdrop #solana #SolanaAirdrop #memecoin https://t.co/ktE4mqYUyi', '2022-01-25T16:39:25.000Z'], ['RT @LukaEvans_: 🔥 AMAZING PROJECT &amp; GIVEAWAY 🔥\n\n💎 10 Legendaries to be given away!\n\n✅ Make sure your holding a @TinyDogzNFT\n \nBuy on MagicE…', '2022-01-25T16:39:25.000Z'], ['@SolanaNFT_King @lfg_sol @AkeDararat @Lucky6669999 @NFT52141931', '2022-01-25T16:39:25.000Z'], ['RT @nftjakey: 🎁FLASH GIVEAWAY!🎁\n\nPrizes: \n🏆2X .2 $SOL\n🏆1X Rare Duck NFT\n🏆5X WL spots\n\nMust: \n1⃣Follow @nftjakey and @SolanaDuckB \n2⃣RT + LI…', '2022-01-25T16:39:24.000Z'], ['RT @Mi_Martinez02: Amor, você é como o sol\nIlumina meu dia, mas queima minha pele. https://t.co/eV75wciiaE', '2022-01-25T16:39:24.000Z'], ['🐦 THUG #2238 found a new nest for 30.00 SOL\n💵 $2,814.90 USD\n\n""birdz fly""\n  - @XicoSR\n\n\uea00 @thugbirdz\n\n📖 https://t.co/QpG16fcVVt \n🧾 https://t.co/YY7FULPLr9 https://t.co/3gw7wiFHr2', '2022-01-25T16:39:24.000Z'], ['RT @CryptoAnglio: 💰💰#NFTGiveaway 💰💰\n\nGiving away @3BananaRepublic\n\nMINT AT 8PM UTC Today 💎\n\n💰2x NFT\n💰1x $SOL\n\nTo enter - follow\n1⃣@3BananaR…', '2022-01-25T16:39:24.000Z'], ['RT @LlamasEmpire: 🎁Giveaway🎁\nWe have the whitelist half completed 🦙 We will giveaway these @Botborgs worth 6 SOL (580$) + 20 WL spots 📝…', '2022-01-25T16:39:24.000Z']]"
USDC,0.19125,"[['Calling all #Crypto #Gamers, sneak-peeks for your future #eSports and #Metaverse. $MVG investors you are invested in AAA Games and up-coming staking #Gems and Company profits.\n\n#BNB #BTC #ETH #USDT #USDC #ADA #Solana #XRP\n#doge #DOT #AVAX $SHIB #UST #MATIC #ATOM #CRO https://t.co/OtkSxyvLjh', '2022-01-25T16:39:37.000Z'], ['RT @Saros_Finance: 🚀 We are excited to introduce #SarosSwap, the core of @Saros_Finance on #Solana along with a huge contest, up to 25,000…', '2022-01-25T16:39:30.000Z'], [""RT @DancingDeerNFT: 💎#NFTGiveaway Collab💎\n\nTo celebrate our partnership with @GroovyTombstone we're giving away 1 #NFT 🍀 \n\n1x @GroovyTombst…"", '2022-01-25T16:39:30.000Z'], ['RT @Saros_Finance: 🚀 We are excited to introduce #SarosSwap, the core of @Saros_Finance on #Solana along with a huge contest, up to 25,000…', '2022-01-25T16:39:25.000Z'], ['🟩 $500K of $USDC Swapped for ➥ $SUSHI via 1inch 🐍\n\n🐋Tx Value:💰$5.19M #0x4dbe96\nhttps://t.co/xgyyCzkShJ', '2022-01-25T16:39:23.000Z'], ['🟢 Swapped $500K in $USDC for $SUSHI on 1inch 🐉\n\n🐋 ($5.19M) 0x4dbe96\nhttps://t.co/ZyYXjCIQbd', '2022-01-25T16:39:18.000Z'], ['RT @Saros_Finance: 🚀 We are excited to introduce #SarosSwap, the core of @Saros_Finance on #Solana along with a huge contest, up to 25,000…', '2022-01-25T16:39:16.000Z'], [""@metagategame 🥳  We're proud to announce that we open first presale round.\n\nℹ️ Min/Max Allocation: $25/2000$\n\n💎 Total Allocation: $110,250\n\n🔴  End Date: 18 February (00:00 AM UTC)\n\n✅ USDT/USDC/BUSD BEP20 ONLY\n\n⚡️Contribution link: https://t.co/N8R39sulLf"", '2022-01-25T16:39:15.000Z'], ['RT @mavprotocol: To celebrate our Ambassador Program launch, we would love to #Giveaway $500 #USDC to our community!\n\n📲Follow @mavprotocol…', '2022-01-25T16:38:57.000Z'], ['@downrightdpad @21Millones_BTC @tHno0k @Snowden Tether possibly, but USDC is backed by paper state-side. UST is algo backed by LUNA as an asset, so that is less time-tested admittedly, but has proven itself through one crash thus far without issue. I definitely wouldn’t put all eggs into one basket, including USD…', '2022-01-25T16:38:50.000Z']]"
ADA,0.05,"[['Philomena (2013)\n\nHati seorang ibu pasti tersayat ketika ditinggal anaknya. Apalagi ditinggal dr kecil. Selain skandal pelecehan seksual spt Spotlight (2015), ada skandal  perdagangan anak yg libatkan gereja. Film ini masuk nominasi Oscar 2014 di 4 kategori\n\n#Philomena\n#TrueStory', '2022-01-25T16:39:46.000Z'], ['@tokopedia SELALU ADA SELALU BISA\n#TokopediaTVShow #TREASUREdiCantikFest 992', '2022-01-25T16:39:46.000Z'], ['3k only\nCall or WhatsApp 07068327167\nOnitsha\nDelivery nationwide\n@larmmy @Oluwafunnmi @DeleMotors @atomic_nancy @Ada_Ojilibeka @DeleMotors @Oluomoofderby @Vizzy_rayven @NaijaWatch @DONJAZZY \n#nwanyịnightwear\n#chistandesigns https://t.co/AYVMuORX5B', '2022-01-25T16:39:46.000Z'], ['@doluwadamilare1 @Ada_Uli1 Google is your friend', '2022-01-25T16:39:46.000Z'], ['HAH MANA KOK BELUM ADA DI WEB ITU', '2022-01-25T16:39:46.000Z'], ['@danieljeromeayd @VEGAS_ADA_Pool @ADAFrog_Pool @KaizenCrypto @bigpeyYT @cryptorecruitr @RichardMcCrackn @BullishDumpling @hoskytoken @NamiWallet @ccvaultio Hi there! We are Happy to help! Please send us a DM so we can look into the difficulties encountered and assist further. https://t.co/rZHDJScdxP', '2022-01-25T16:39:46.000Z'], ['RT @twt_bajet: Contoh duit derma yang digunakan sebaiknya oleh pengurusan masjid. Anak muda penuh idea untuk menggerakkan masjid. Di tempat…', '2022-01-25T16:39:46.000Z'], ['Boleh tak, tak payah keja...nak rehat, tak nak runsing², duit ada jah..tak yah asik kerut dahi. Berangan je lah ko, dlm mimpi bolehlah..😭', '2022-01-25T16:39:46.000Z'], ['RT @putrahmadway: Brondong ganteng ngent0t w4ria\nVideo Fulldurasi sampai Crot ada di Grupp ya.\n..\nCuman (150 Ribu) ajah udah bisa masuk ke…', '2022-01-25T16:39:46.000Z'], ['️️ ️️ ️️️️ ️️\nAda bayangmu, ada bayanganmu\nDisetiap mimpiku yang indah\nBayanganmu selalu datang. @kognatif \n ️️ ️️ ️️️️ ️️ https://t.co/4EQLxd3lbU', '2022-01-25T16:39:46.000Z']]"
XRP,0.0761904761904762,"[['@Bordeau_XR Stay strong, XRP family will prevail..💪🏼💪🏼', '2022-01-25T16:39:55.000Z'], ['RT @XRP_Tokens: Hinman had already chosen his winner!! April 2018! 2 months before ETH Free pass! 1:10:40secs \n@_XRpizza @JohnEDeaton1 @att…', '2022-01-25T16:39:55.000Z'], [""Hit ❤❤ if you haven't sold a single coin during this dip 💪💪💥💯\n\n$btc $eth $luna $Shib $doge $htr $rmrk $qnt $link $xrp $sol $ada https://t.co/BYwBP4M4it"", '2022-01-25T16:39:54.000Z'], [""RT @XRP_Tokens: Call it what you want. It's ICO's.\n @_XRpizza @JohnEDeaton1 @NerdNationUnbox @TAIGxrp @Liz85139 @attorneyjeremy1 @FilanLaw…"", '2022-01-25T16:39:54.000Z'], ['RT @XRMiner_Token: 🤼COMMUNITY❗️🧑\u200d🤝\u200d🧑\n\n🤼⛏️Community is a big part of our project!!🤼⛏️\n\n#XRPL #XRPLCOMMUNITY #CRYPTO #Airdrop \n#XRPLToken #Xu…', '2022-01-25T16:39:54.000Z'], [""@CrytoKeeper_XRP @catturd2 It's really not though. I don't trust the bureaucrats. I read the studies myself and decide. \n\nhttps://t.co/JvFzgtefEh"", '2022-01-25T16:39:54.000Z'], ['RT @XRMiner_Token: 🤼COMMUNITY❗️🧑\u200d🤝\u200d🧑\n\n🤼⛏️Community is a big part of our project!!🤼⛏️\n\n#XRPL #XRPLCOMMUNITY #CRYPTO #Airdrop \n#XRPLToken #Xu…', '2022-01-25T16:39:53.000Z'], ['@XRP_OWL @Bitboy_Crypto https://t.co/AWhTBfRh1Y', '2022-01-25T16:39:52.000Z'], ['RT @realXRPwhale: $XRP is a security: 🇺🇸\n\n#XRP is not a security: 🇧🇪🇦🇨🇦🇮🇦🇱🇦🇲🇦🇴🇦🇿🇦🇽🇦🇼🇦🇺🇦🇹🇦🇬🇦🇫🇦🇸🇦🇷🇦🇪🇦🇩🇦🇶🇧🇦🇧🇧🇧🇩🇧🇫🇧🇬🇧🇭🇧🇮🇧🇸🇧🇷🇧🇶🇧🇴🇧🇳🇧🇲🇧🇱🇧🇯🇧🇹🇧🇻🇧🇾…', '2022-01-25T16:39:52.000Z'], ['RT @XRMiner_Token: 🤼COMMUNITY❗️🧑\u200d🤝\u200d🧑\n\n🤼⛏️Community is a big part of our project!!🤼⛏️\n\n#XRPL #XRPLCOMMUNITY #CRYPTO #Airdrop \n#XRPLToken #Xu…', '2022-01-25T16:39:52.000Z']]"
LUNA,0.03785714285714286,"[['@flipsidecrypto  terra hunting\nhttps://t.co/s9CBHNh3oN', '2022-01-25T16:40:02.000Z'], ['Aprovecha la luna menguante para realizar este poderoso ritual\n\nhttps://t.co/2kkNRHRHqc', '2022-01-25T16:40:00.000Z'], ['Ingressos, ok.... Luna, ok tudo pronto para prestigiar o coelhão @AmericaMG https://t.co/CY5y5uc0qI', '2022-01-25T16:39:55.000Z'], [""Hit ❤❤ if you haven't sold a single coin during this dip 💪💪💥💯\n\n$btc $eth $luna $Shib $doge $htr $rmrk $qnt $link $xrp $sol $ada https://t.co/BYwBP4M4it"", '2022-01-25T16:39:54.000Z'], ['RT @Blush_Erotica: Watch her mind and hands wander as Luna tries to focus on work but can only focus on her sex-starved body. Featuring @Lu…', '2022-01-25T16:39:54.000Z'], ['RT @Anakarine_Mew: Q la luna ilumine tu noche y su luz cobije tu ser .\nEncomiendo al cielo mas bello q cuide de ti hasta él amanecer .\nDulc…', '2022-01-25T16:39:54.000Z'], ['RT @S1mplicissimus: Foto espectacular en Sierra Morena; cerca de una necrópolis de la Edad de Bronce.\n¡Qué bonita Andalucía!\n\n¡SI SEVILLA N…', '2022-01-25T16:39:52.000Z'], ['@ElpinshiOrlando @fernandeznorona @FelipeCalderon Peligrosa ? A un borracho q tenia a Garcia Luna encargado de seguridad? Cuantos asesinatos en la presidencia de Borolas?', '2022-01-25T16:39:52.000Z'], ['Que vontade de agredir a Luna, porra 😡', '2022-01-25T16:39:51.000Z'], ['Gives me Luna vibe 💃 https://t.co/yXInTCbHdV', '2022-01-25T16:39:50.000Z']]"
DOT,0.18952380952380954,"[['@TagadoBTC #dot#kusuma#ftm#Atom#link#', '2022-01-25T16:40:09.000Z'], ['@teddyroyg @djfm_dot_com It feels like there is part of this question missing!  Not enough detail! cheating on what? Making music how?', '2022-01-25T16:40:08.000Z'], ['RT @Legitcryptonerd: $Qnt fam, go watch this amazing video by @NCashOfficial\n#Qnt is going to be huge in 2022 and onwards, IN SHA ALLAH\n🚀\n$…', '2022-01-25T16:40:08.000Z'], ['@1eonejuarez one dot', '2022-01-25T16:40:08.000Z'], ['🖱 Echo Dot (3ª generazione) - Altoparlante intelligente con integrazione Alexa - Tessuto 🔥\n\n❌ 49,99€\n✅ ➠ ➠ ➠ In Offerta a 29,99€\n➡️ https://t.co/XqUayXC4XS ⬅️\n\n💰 Risparmi 20,00€ (40%)\n\n⚠️ I prezzi possono subire variazioni ↪️ Disclaimer ↩️ https://t.co/9Hi66N8Pm5', '2022-01-25T16:40:07.000Z'], ['@unclesketch96 Couldn’t agree more! We’re building a platform on dot where you can fund clean tech projects while earning rewards 🤩 check us out! 👀', '2022-01-25T16:40:06.000Z'], ['@TrellBeyFierce The more I look at these Ivy Park sneaker slides, the more they grow on me. They certainly look as good as these Prada pointed-toe tennis shoes. https://t.co/DtyqkOOhfk', '2022-01-25T16:40:05.000Z'], ['Top 🔟 PERFORMING cryptocurrency this hour\n1. $BTC or #BTC\n2. $POLY or #POLY\n3. $BAT or #BAT\n4. $XTZ or #XTZ\n5. $PLA or #PLA\n6. $DOT or #DOT\n7. $AMP or #AMP\n8. $MANA or #MANA\n9. $REN or #REN\n10. $LTC or #LTC\nShow More https://t.co/Wd1UnIOBEG https://t.co/UKiIT1IKHK', '2022-01-25T16:40:01.000Z'], ['@xkatycatsarah Why did the like have a red dot on it https://t.co/CFqaN2Ohfx', '2022-01-25T16:39:59.000Z'], ['Giga dot com https://t.co/a6ReS7bXXu', '2022-01-25T16:39:58.000Z']]"
